Reference number,Company Payment Type,Delivering City,Shipment Details,Cash on Delivery,Exp Delivery Fees,Shipment Status,Creation Date,Perfume_Count
A2412F,Pay After Delivery,Amman,الي صعب ١٠٠/ لانكوم ١٠٠,25,1٫75,yes,4/4/2024 2:41:39 AM,2
A2413F,Pay After Delivery,Amman,برايت كريستال ١٠٠,17,1٫5,No,4/4/2024 2:41:39 AM,1
A2414F,Pay After Delivery,Amman,فرزاتشي إيروس ١٠٠,17,1٫75,yes,4/4/2024 2:41:39 AM,1
A2415F,Pay After Delivery,Amman,اكوا جيو اسود ١٠٠,17,1٫75,yes,4/4/2024 2:41:39 AM,1
A2416F,Pay After Delivery,Ajlun,امبر ليذر ٥٠/جفنشي جنتل مان ٥٠,1,1٫75,No,4/4/2024 2:41:39 AM,2
A2417F,Pay After Delivery,Amman,فرزاتشي إيروس ١٠٠,17,1٫75,yes,4/4/2024 2:41:39 AM,1
A2418F,Pay After Delivery,Amman,بلاك افغانو ١٠٠/ توم فورد توباكو عود ١٠٠/ جوتشي انتنس ١٠٠,40,1٫75,yes,4/4/2024 2:41:39 AM,3
A2419F,Pay After Delivery,Amman,كوكو مدموزيل ١٠٠,17,1٫75,yes,4/4/2024 2:41:39 AM,1
A2420F,Pay After Delivery,Amman,روبورتو كفالي الشفافه ١٠٠/دنهل فريش ١٠٠/ يو انتنسلي ١٠٠,40,1٫75,yes,4/4/2024 2:41:39 AM,3
A2421F,Pay After Delivery,Irbid,سوفاج ١٠٠,17,1٫75,No,4/4/2024 2:41:39 AM,1
A2422F,Pay After Delivery,Amman,بيربري هيرو رجالي ١٠٠/مونت بلانك ليجند ١٠٠,27,1٫75,yes,4/4/2024 2:41:39 AM,2
A2423F,Pay After Delivery,Amman,عود اصفهان ١٠٠/ بلقري تايجر ١٠٠,25,1٫75,yes,4/4/2024 2:41:39 AM,2
A2424F,Pay After Delivery,Amman,كربد افنتوس ١٠٠/اكوا جيو ١٠٠/بلو شانيل ١٠٠,40,1٫75,yes,4/4/2024 2:41:39 AM,3
A2425F,Pay After Delivery,Amman,ماي بيربري ١٠٠/ دولتشي ذا ون  ستاتي ١٠٠,27,1٫75,yes,4/4/2024 2:41:39 AM,2
A2426F,Pay After Delivery,Amman,سوفاج ١٠٠/ واي اف سان لوران ١٠٠/هدية ,27,1٫75,yes,4/4/2024 2:41:40 AM,3
141Z,Pay After Delivery,Amman,3 علب,34,1٫5,No,4/4/2024 2:41:40 AM,3
142Z,Pay After Delivery,Amman,3 علب,40,1٫75,yes,4/4/2024 2:41:40 AM,3
143Z,Pay After Delivery,Zarqa,علبة,17,2٫75,yes,4/4/2024 2:41:40 AM,1
144Z,Pay After Delivery,Irbid,علبة,17,2٫75,yes,4/4/2024 2:41:40 AM,1
145Z,Pay After Delivery,Irbid,علبة,17,2٫75,yes,4/4/2024 2:41:40 AM,1
146Z,Pay After Delivery,Zarqa,4 علب,50,2٫75,yes,4/4/2024 2:41:40 AM,4
147Z,Pay After Delivery,Amman,علبة,17,1٫75,yes,4/4/2024 2:41:40 AM,1
148Z,Pay After Delivery,Irbid,علبة,17,1٫75,No,4/4/2024 2:41:40 AM,1
149Z,Pay After Delivery,Jarash,4 علب,0,2٫75,yes,4/4/2024 2:41:40 AM,4
341t,Pay After Delivery,Amman,١٠٠ مل نيشاني /١٠٠ مل لاكوست سبورت,0,1٫75,yes,4/6/2024 4:39:39 AM,2
342t,Pay After Delivery,Amman,٢١٢مان ١٠٠ مل  / بلو شانيل ١٠٠مل / ٥٠ مل فيرزاتشي ايروس,30,1٫75,yes,4/6/2024 4:39:39 AM,3
343t,Pay After Delivery,Amman,١٠٠ مل جوتشي ريش (Gucci rush ),0,1٫75,yes,4/6/2024 4:39:39 AM,1
344t,Pay After Delivery,Aqaba,١٠٠ مل شانيل تندر /١٠٠ مل ميسزز ديور,27,2٫75,yes,4/6/2024 4:39:39 AM,2
345t,Pay After Delivery,Amman,100 مل بيربري هير / ١٠٠ مل دايزي لوف ,27,1٫75,yes,4/6/2024 4:39:39 AM,2
346t,Pay After Delivery,Amman,١٠٠ مل مسك نوار ناريسيو ,17,1٫5,No,4/6/2024 4:39:39 AM,1
347t,Pay After Delivery,Amman,١٠٠ مل فان سليف &ابريلز,17,1٫75,yes,4/6/2024 4:39:39 AM,1
348t,Pay After Delivery,Amman,١٠٠ مل يو / سوفاج ١٠٠ مل,25,1٫75,yes,4/6/2024 4:39:39 AM,2
349t,Pay After Delivery,Amman,١٠٠ مل هوجو / ١٠٠ مل مونت بلانك اكسبلولر ,25,1٫75,yes,4/6/2024 4:39:39 AM,2
3410t,Pay After Delivery,Zarqa,١٠٠ مل اكوا دي جيو / ١٠٠ مل سوفاج,25,2٫75,yes,4/6/2024 4:39:39 AM,2
3411t,Pay After Delivery,Amman,100 مل مونت بلانك ,17,1٫5,No,4/6/2024 4:39:39 AM,1
3412t,Pay After Delivery,Rumtha,١٠٠ مل سوفاج / ١٠٠ مل سكاندل ستاتي,27,2٫75,yes,4/6/2024 4:39:39 AM,2
3413t,Pay After Delivery,South Aghwar,١٠٠ مل// توم فورد بلاك اوركيد/ فيرزاتشي بلو / ارماني برايف,40,2٫75,yes,4/6/2024 4:39:39 AM,3
3415t,Pay After Delivery,Russeifa,١٠٠ مل سي حمرا / ١٠٠ مل غوتشي غولتي ,25,2٫75,yes,4/6/2024 4:39:40 AM,2
3416t,Pay After Delivery,Karak,١٠٠ مل سي الزهر,17,2٫75,yes,4/6/2024 4:39:40 AM,1
3417t,Pay After Delivery,Amman,١٠٠ مل فيرزاتشي كريستال ستاتي / ١٠٠ مل بلو شانيل رجالي,27,1٫75,yes,4/6/2024 4:39:40 AM,2
3419t,Pay After Delivery,Amman,١٠٠ مل كريد افينيوس / ١٠٠ مل سوفاج / ١٠٠ مل نيشاني,40,1٫75,yes,4/6/2024 4:39:40 AM,3
3420t,Pay After Delivery,Amman,١٠٠ مل اكوا دي جيو ,0,1٫75,yes,4/6/2024 4:39:40 AM,1
341F,Pay After Delivery,South Aghwar,سكاندل بور هوم ١٠٠/سوفاج الكسير ١٠٠/دي مارلي لابتون ٥٠,30,2٫75,yes,4/6/2024 4:39:40 AM,3
342F,Pay After Delivery,Madaba,دي مارلي جرينلي ١٠٠/اكوا جيو بروفومو ١٠٠/دولتشي لايت بلو ١٠٠,40,2٫75,yes,4/6/2024 4:39:40 AM,3
343F,Pay After Delivery,Irbid,يو ابسليوت ١٠٠/ توم فورد بلاك اوركيد ١٠٠/دي مارلي لايتون ١٠٠,40,2٫75,yes,4/6/2024 4:39:40 AM,3
344F,Pay After Delivery,Mafraq,لانوت لاهوم ٥٠,12,2٫75,yes,4/6/2024 4:39:40 AM,1
345F,Pay After Delivery,Amman,بيربري هيرو رجالي ١٠٠/كلوب دي نوت ١٠٠/فرزاتشي ايروس ١٠٠,40,1٫75,yes,4/6/2024 4:39:40 AM,3
346F,Pay After Delivery,Amman,جادور ١٠٠/مانسرا روز جريدي ١٠٠/ جفنشي لا سيكرت ١٠٠,40,1٫75,yes,4/6/2024 4:39:40 AM,3
347F,Pay After Delivery,Amman,ليبر ١٠٠/ سترونج وذ يو ١٠٠,25,1٫75,yes,4/6/2024 4:39:40 AM,2
349F,Pay After Delivery,Amman,جفنشي لا سيكرت ١٠٠/مونت بلانك ليجند ١٠٠,25,1٫75,yes,4/6/2024 4:39:40 AM,2
3410F,Pay After Delivery,Amman,مانسيوا روز فانيلا ١٠٠,17,1٫75,yes,4/6/2024 4:39:40 AM,1
3411F,Pay After Delivery,Zarqa,ديور هوم كولجين ١٠٠,17,2٫75,No,4/6/2024 4:39:40 AM,1
3412F,Pay After Delivery,Zarqa,هوجو بوس بوتلد ١٠٠,17,2٫75,yes,4/6/2024 4:39:40 AM,1
3413F,Pay After Delivery,Madaba,دنهل فريش ١٠٠/سكادا ٢٠٠٥ ١٠٠ مل ,25,2٫75,yes,4/6/2024 4:39:40 AM,2
3414F,Pay After Delivery,Amman,شانيل شانس ١٠٠/ هوجو بوس وومن ١٠٠,25,1٫75,yes,4/6/2024 4:39:40 AM,2
3415F,Pay After Delivery,Amman,سترونج وذ يو ١٠٠,17,1٫75,yes,4/6/2024 4:39:40 AM,1
3417F,Pay After Delivery,Amman,اكوا جيو ١٠٠/سوفاج ١٠٠,25,1٫75,yes,4/6/2024 4:39:40 AM,2
2418FF,Pay After Delivery,Amman,رجالي ١٠٠ مل ع زوقك عدد ٢,25,1٫5,No,4/6/2024 4:39:40 AM,2
3419F,Pay After Delivery,Zarqa,باد بوي ١٠٠/ واي اف سان لوران ١٠٠,27,2٫75,yes,4/6/2024 4:39:40 AM,2
341z,Pay After Delivery,Amman,اولمبيا,2,1٫75,yes,4/6/2024 4:39:40 AM,1
342z,Pay After Delivery,Irbid,سوفاج + لا ميل جان بول,25,2٫75,yes,4/6/2024 4:39:40 AM,2
343z,Pay After Delivery,Amman,سي الاسود + سي العادي,25,1٫75,yes,4/6/2024 4:39:40 AM,2
344z,Pay After Delivery,Amman,عود وود,2,1٫75,yes,4/6/2024 4:39:40 AM,1
345z,Pay After Delivery,Irbid,بلو دي شانيل + هاج سينت + انجيلز شير + ون مليون,20,2٫75,yes,4/6/2024 4:39:40 AM,3
346z,Pay After Delivery,Amman,سوفاج + اكوا دي جيو,25,1٫75,yes,4/6/2024 4:39:40 AM,2
347z,Pay After Delivery,Amman,مونت بلانك ستار ولكر + ذا ون + كريد افينتوس ابسولو,40,1٫75,yes,4/6/2024 4:39:40 AM,3
348z,Pay After Delivery,Amman,بلو دي شانيل + سوفاج,25,1٫75,yes,4/6/2024 4:39:40 AM,2
349z,Pay After Delivery,Amman,شامبيون دافيدوف + آيروس + كريد افينتوس + سكاندل بور هوم,50,1٫75,No,4/6/2024 4:39:40 AM,4
3410z,Pay After Delivery,Amman,مس ديور + كوكو شانيل مدموزيل + جود جيرل,40,1٫75,yes,4/6/2024 4:39:40 AM,3
3411z,Pay After Delivery,Amman,فرزاتشي بور هوم + سوفاج + كريد جرين اريش,40,1٫5,No,4/6/2024 4:39:40 AM,3
4418t,Pay After Delivery,Amman,١٠٠ مل سوبريم بوكيه /١٠٠ مل  توم فورد فانيلا,27,1٫75,yes,4/7/2024 6:54:09 AM,2
4417t,Pay After Delivery,Irbid,١٠٠ مل بيربري هير رجالي /١٠٠ مل سوفاج ,27,2٫75,yes,4/7/2024 6:54:09 AM,2
4415t,Pay After Delivery,Amman,١٠٠ مل ديور هوم انتينيسزز/١٠٠ مل  مانسيرا ريد توباكو / ١٠٠ مل اكوا دي جيو بلاك,40,1٫75,yes,4/7/2024 6:54:09 AM,3
4414t,Pay After Delivery,Amman,١٠٠ مل الين / ١٠٠ مل هوجو بوس ان ليميتدد,25,1٫75,yes,4/7/2024 6:54:09 AM,2
4413t,Pay After Delivery,Karak,١٠٠ مل بلاك اورغيد / ١٠٠ مل هيغ سيكنت,25,2٫75,yes,4/7/2024 6:54:09 AM,2
4412t,Pay After Delivery,Jarash,١٠٠ مل لايت بلو انتنيسس,0,2٫75,yes,4/7/2024 6:54:09 AM,1
4411t,Pay After Delivery,Amman,١٠٠ مل ليبرا / ١٠٠ مل سان لوران,25,1٫75,yes,4/7/2024 6:54:09 AM,2
4410t,Pay After Delivery,Amman,١٠٠ مل بلو دي شانيل / ١٠٠ مل ميسزز ديور,27,1٫75,yes,4/7/2024 6:54:09 AM,2
448t,Pay After Delivery,Amman,١٠٠ مل جنتل مان  اونلي ,17,1٫75,yes,4/7/2024 6:54:09 AM,1
446t,Pay After Delivery,Amman,١٠٠ مل ارامني كود ابسلولتلي / ١٠٠ مل انفيكتوس فيكتوري ,0,1٫75,yes,4/7/2024 6:54:09 AM,2
445t,Pay After Delivery,Amman,علبتين ١٠٠ مل كوكو فانيلا مانسيرا// توم فورد  لوست شيري ١٠٠ مل ,40,1٫75,yes,4/7/2024 6:54:09 AM,3
444t,Pay After Delivery,Amman, ١٠٠ مل جيفينشي روز فلافيت ,17,1٫75,yes,4/7/2024 6:54:09 AM,1
443t,Pay After Delivery,Amman,١٠٠ مل كالفن كلاين يوفوريا /١٠٠ مل سوفاج ,27,1٫75,yes,4/7/2024 6:54:09 AM,2
441t,Pay After Delivery,Mafraq,١٠٠ مل كريد افينيوس /١٠٠ مل غوتشي اند غابانا ذا كينغ / ٥٠ مل سوفاج ,32,2٫75,yes,4/7/2024 6:54:09 AM,3
541z,Pay After Delivery,Amman,عبوتين هوجو بوس بوتلد الذهبي+ برادا ميلانو,40,1٫75,yes,4/7/2024 6:54:09 AM,3
542z,Pay After Delivery,Amman,واي ايف سان لوران + امبري لذر,25,1٫75,yes,4/7/2024 6:54:09 AM,2
543z,Pay After Delivery,Irbid,عبوتين توباكو فانيلا ,25,2٫75,yes,4/7/2024 6:54:09 AM,2
544z,Pay After Delivery,Zarqa,باتشولي روز,0,2٫75,yes,4/7/2024 6:54:09 AM,1
545z,Pay After Delivery,Ajlun,امبري لذر,0,2٫75,yes,4/7/2024 6:54:09 AM,1
546z,Pay After Delivery,Amman,ليبر انتنس,17,1٫75,yes,4/7/2024 6:54:09 AM,1
547z,Pay After Delivery,Zarqa,الترا ميل ,9,2٫75,yes,4/7/2024 6:54:09 AM,1
548z,Pay After Delivery,South Aghwar,ايروس + هاج سينت + سترونجر وذ يو ابسلوتلي,40,2٫75,yes,4/7/2024 6:54:09 AM,3
549z,Pay After Delivery,Irbid,بلاك اوركيد + نيشان هاشيفات + واي ايف سان لوران,40,2٫75,yes,4/7/2024 6:54:09 AM,3
5410z,Pay After Delivery,Amman,بلاك اوركبد + روز فانيلا ,25,1٫75,yes,4/7/2024 6:54:09 AM,2
5411z,Pay After Delivery,Zarqa,مونت بلانك لجند,17,2٫75,yes,4/7/2024 6:54:09 AM,1
5412z,Pay After Delivery,Amman,كريد افينتوس ,0,1٫75,yes,4/7/2024 6:54:09 AM,1
5413z,Pay After Delivery,Amman,بيور بويزن + ماي واي,25,1٫75,yes,4/7/2024 6:54:09 AM,2
5414z,Pay After Delivery,Zarqa,ديور هوم + لاكوست شالنج + ماي بربري ,35,2٫75,yes,4/7/2024 6:54:09 AM,3
5415z,Pay After Delivery,Zarqa,برادا انتنس + بمب شيل,25,2٫75,yes,4/7/2024 6:54:09 AM,2
5416z,Pay After Delivery,Irbid,عبوتين جوتشي بلوم + جوتشي فلورا جاردينيا ,40,2٫75,yes,4/7/2024 6:54:09 AM,2
5417z,Pay After Delivery,Amman,رن وايلد + سوفاج,25,1٫75,yes,4/7/2024 6:54:09 AM,2
5418z,Pay After Delivery,Amman,ايروس + كارتير ديكلاريشن + اكوا دي جيو بروفومو ,40,1٫75,yes,4/7/2024 6:54:09 AM,3
5419z,Pay After Delivery,Mafraq,بلو دي شانيل ,17,2٫75,yes,4/7/2024 6:54:09 AM,1
5420z,Pay After Delivery,Amman,سترونجر وذ يو ابسلوتلي + بلاك اوركيد + انفكتوس,40,1٫75,yes,4/7/2024 6:54:09 AM,3
541t,Pay After Delivery,Amman,١٠٠ مل لويس فيكتوس ايماجينيشن ,17,1٫75,yes,4/7/2024 6:54:09 AM,1
542t,Pay After Delivery,Amman,١٠٠مل // علبتني عود مينيرالي/ سوفاج / امبر لذز / سان لوران / نيشاني,70,1٫75,yes,4/7/2024 6:54:09 AM,6
543t,Pay After Delivery,Amman,١٠٠ مل // بلو دي شانيل /لانكوم البنفسجي نسائي/ ميسزز ديور الجديدة,40,1٫75,yes,4/7/2024 6:54:09 AM,3
544t,Pay After Delivery,Amman,١٠٠ مل سيلفر كريد واتر,0,1٫75,yes,4/7/2024 6:54:09 AM,1
545t,Pay After Delivery,Amman,١٠٠ مل // بلو دي شانيل / كريد افينيوس ,27,1٫75,yes,4/7/2024 6:54:09 AM,2
546t,Pay After Delivery,Amman,100مل سوفاج ,17,1٫75,yes,4/7/2024 6:54:09 AM,1
547t,Pay After Delivery,Salt,الترا ميل الذهبية ١٠٠ مل ,17,2٫75,yes,4/7/2024 6:54:09 AM,1
548t,Pay After Delivery,Aqaba,١٠٠ مل // لي ليون باي شانيل /  امبر نوماد / فيرزاتشي دايلن بلو ,40,2٫75,yes,4/7/2024 6:54:09 AM,3
549t,Pay After Delivery,Amman,١٠٠ مل //سوفاج /  يو / امبر ليذر ,40,1٫75,yes,4/7/2024 6:54:09 AM,3
5410t,Pay After Delivery,Karak,١٠٠ مل بربري هير نسائي,0,2٫75,yes,4/7/2024 6:54:09 AM,1
5411t,Pay After Delivery,Amman,علبتين ١٠٠ مل كريد افينيوس ,25,1٫75,yes,4/7/2024 6:54:09 AM,2
5412t,Pay After Delivery,Aqaba,١٠٠ مل. ٢١٢سكسي نسائي/١٠٠ مل   توباكي فانيلا توم فورد,27,2٫75,yes,4/7/2024 6:54:09 AM,2
5413t,Pay After Delivery,Amman,١٠٠ مل كريد ابسلوتلي /١٠٠ مل سترونغ وذ يو ,25,1٫75,yes,4/7/2024 6:54:09 AM,2
5414t,Pay After Delivery,Amman,١٠٠ مل // باربري لندن /  دنهل فريش,25,1٫75,yes,4/7/2024 6:54:09 AM,2
5415t,Pay After Delivery,Amman,١٠٠ مل // بيربري هير نسائي /  تيري هيرمز انتنس ,25,1٫75,yes,4/7/2024 6:54:09 AM,2
5416t,Pay After Delivery,Amman,100 مل // مونت بلانك / فيرزاتشي ايروس ,27,1٫75,yes,4/7/2024 6:54:09 AM,2
5417t,Pay After Delivery,Amman,50 ملً// كارتير ديكلاريشن / جرانتلي ايو دي / انفيكتوس / كريد الاسود ,30,1٫75,yes,4/7/2024 6:54:09 AM,4
5418t,Pay After Delivery,Amman,١٠٠ مل// فيلفت جيفينشي /ميسزز ديور,25,1٫75,yes,4/7/2024 6:54:09 AM,2
5419t,Pay After Delivery,North Aghwar,الترا ميل ١٠٠مل ,0,2٫75,yes,4/7/2024 6:54:09 AM,1
5420t,Pay After Delivery,Amman,١٠٠ مل // سكاندل ستاتي / لينيرديت  الاسود,0,1٫75,yes,4/7/2024 6:54:09 AM,2
4427F,Pay After Delivery,Amman,عنبر ليذر ١٠٠ عدد٢,28,1٫75,yes,4/7/2024 6:54:09 AM,2
4426F,Pay After Delivery,Amman,لاكوست وايت  ١٠٠/ ستاتي ع زوقك ١٠٠/ رجالي ٥٠ / ستاتي ثقيل ٥٠,1,1٫75,yes,4/7/2024 6:54:10 AM,4
4425F,Pay After Delivery,Amman,دكني ١٠٠/جوتشي بلوم ١٠٠/مايكل كورس الشنته ستاتي١٠٠,40,1٫5,No,4/7/2024 6:54:10 AM,3
4424F,Pay After Delivery,Madaba,اكوا جيو سلفر ١٠٠/بومب شيل ١٠٠,25,2٫75,yes,4/7/2024 6:54:10 AM,2
4423F,Pay After Delivery,Amman,ليبر ١٠٠/ بيربري هير ١٠٠/سي احمر ١٠٠,25,1٫75,yes,4/7/2024 6:54:10 AM,3
4422F,Pay After Delivery,Irbid,212 سكسي ستاتي١٠٠,17,2٫75,yes,4/7/2024 6:54:10 AM,1
4421F,Pay After Delivery,Amman,فرزاتشي كريستال نوير ١٠٠,17,1٫75,yes,4/7/2024 6:54:10 AM,1
4420F,Pay After Delivery,Wadi Musa,ليبر ١٠٠/ جادور ١٠٠,25,1٫75,No,4/7/2024 6:54:10 AM,2
4419F,Pay After Delivery,Amman,كريد افنتوس١٠٠/ بلو شانيل ١٠٠,25,1٫75,yes,4/7/2024 6:54:10 AM,2
4418F,Pay After Delivery,Madaba,تايجر وايت ١٠٠,1,2٫75,yes,4/7/2024 6:54:10 AM,1
4417F,Pay After Delivery,Madaba,بلاك افغانو ١٠٠/بيربربري هيرو رجالي ١٠٠/ ليجند ١٠٠/ هديه رجالي٥٠,40,2٫75,yes,4/7/2024 6:54:10 AM,4
4416F,Pay After Delivery,Irbid,ستاتي ع زوقك ١٠٠,17,2٫75,yes,4/7/2024 6:54:10 AM,1
4415F,Pay After Delivery,Amman,جوتشي فلورا ١٠٠/ لاكوست وايت١٠٠,27,1٫75,yes,4/7/2024 6:54:10 AM,2
4414F,Pay After Delivery,Amman,سوفاج ١٠٠/ فرزاتشي إيروس ١٠٠,25,1٫75,yes,4/7/2024 6:54:10 AM,2
4413F,Pay After Delivery,Amman,دولتشي اند جبانا انتنس١٠٠,17,1٫75,yes,4/7/2024 6:54:10 AM,1
4412F,Pay After Delivery,Karak,جفنشي بلاي ١٠٠/بلو شانيل ١٠٠,25,2٫75,yes,4/7/2024 6:54:10 AM,2
4411F,Pay After Delivery,Amman,سي الزهر ٥٠/ايسي مياكي٥٠/بولو الاحمر ٥٠/مونت بلانك ستار ووكر ٥٠,30,1٫75,yes,4/7/2024 6:54:10 AM,4
4410F,Pay After Delivery,Amman,غوتشي بلوم ١٠٠/ بولو الاحمر ١٠٠,25,1٫75,yes,4/7/2024 6:54:10 AM,2
449F,Pay After Delivery,Russeifa,١٠٠ مل ستاتي عدد٢ ع زوقك / ١٠٠ مل رجالي عدد ٩ تسعة ,120,2٫75,yes,4/7/2024 6:54:10 AM,11
448F,Pay After Delivery,Zarqa,بلو شانيل ١٠٠/ ديور هوم انتنس ١٠٠/ فرزاتشي كريستال نوير ٥٠,30,2٫75,yes,4/7/2024 6:54:10 AM,3
447F,Pay After Delivery,Madaba,سوفاج ١٠٠/ ليبر ١٠٠,25,2٫75,yes,4/7/2024 6:54:10 AM,2
445F,Pay After Delivery,Amman,نيشان هشيفات ١٠٠/ بيربري هيرو ١٠٠,25,1٫75,yes,4/7/2024 6:54:10 AM,2
444F,Pay After Delivery,Amman,ون مليون السكني ١٠٠/بلو شانيل ١٠٠ مل/ ٢١٢ سلفر ١٠٠,40,1٫75,yes,4/7/2024 6:54:10 AM,3
443F,Pay After Delivery,Amman,نوتيكا فوياج ١٠٠/لاكوست وايت ١٠٠,25,1٫75,yes,4/7/2024 6:54:10 AM,2
442F,Pay After Delivery,Amman,دولتشي ذا ون ١٠٠/ون مليون ١٠٠/امبر ليذر١٠٠/ كريد ابسولو افنتوس١٠٠,50,1٫75,yes,4/7/2024 6:54:10 AM,4
441F,Pay After Delivery,Amman,بيربري هير ١٠٠,1,1٫75,yes,4/7/2024 6:54:10 AM,1
5417F,Pay After Delivery,Amman,ليجند ١٠٠ عدد ٢,25,1٫75,yes,4/7/2024 6:54:10 AM,2
5416F,Pay After Delivery,Amman,بيربري هيرو ١٠٠/ بولو الاخضر ١٠٠,25,1٫75,yes,4/7/2024 6:54:10 AM,2
5415F,Pay After Delivery,Amman,كريد افنتوس ١٠٠/ بلو شانيل ١٠٠/سوفاج١٠٠,40,1٫75,yes,4/7/2024 6:54:10 AM,3
5414F,Pay After Delivery,Maan,سكاندل رجال١٠٠/ يو١٠٠/ سبايس بومب٥٠/ بوس٥٠,1,2٫75,yes,4/7/2024 6:54:10 AM,4
5413F,Pay After Delivery,Karak,هوس ٥٠/اكوا جيو٥٠/ يو٥٠/ليجند٥٠,30,2٫75,yes,4/7/2024 6:54:10 AM,4
5411F,Pay After Delivery,Amman,بلقري اكوا ١٠٠/سكاندل بور هوم ١٠٠,25,1٫75,yes,4/7/2024 6:54:10 AM,2
5410F,Pay After Delivery,Zarqa,ديور هوم ١٠٠/ كول واتر ١٠٠,1,2٫75,yes,4/7/2024 6:54:10 AM,2
549F,Pay After Delivery,Amman,عود وود ١٠٠/ دولتشي كنغ ١٠٠/ رجالي ع زوقك ٥٠,30,1٫75,yes,4/7/2024 6:54:10 AM,3
548F,Pay After Delivery,Amman,اولمبيا ١٠٠/ سي احمر ١٠٠/ ليبر٥٠/ ديور هوم انتنس١٠٠,30,1٫75,yes,4/7/2024 6:54:10 AM,4
547F,Pay After Delivery,Amman,سكاندل رجالي ١٠٠,17,1٫75,yes,4/7/2024 6:54:10 AM,1
546F,Pay After Delivery,Amman,تيري هيرمز ١٠٠/ ون مليون ١٠٠,25,1٫75,yes,4/7/2024 6:54:10 AM,2
545F,Pay After Delivery,Irbid,بوس بوتلد انتنس١٠٠/سبايس بومب اكستريم ١٠٠/ديور هوم انتنس١٠٠/لايتون اكسلوسف ١٠٠,50,2٫75,yes,4/7/2024 6:54:10 AM,4
544F,Pay After Delivery,Karak,سوفاج ,17,2٫75,yes,4/7/2024 6:54:10 AM,1
543F,Pay After Delivery,Amman,مستر بيربري انديجو ١٠٠/مونت بلانك ليجند ١٠٠,25,1٫75,yes,4/7/2024 6:54:10 AM,2
542F,Pay After Delivery,Amman,بيربري هير ١٠٠ عدد ٢/ريبورتو براديس ٥٠,30,1٫75,yes,4/7/2024 6:54:10 AM,3
541F,Pay After Delivery,Karak,دنهل ايكون ١٠٠,1,2٫75,yes,4/7/2024 6:54:10 AM,1
641t,Pay After Delivery,Amman,١٠٠ مل بلاك لكزس ,17,1٫75,yes,4/8/2024 3:04:02 AM,1
642t,Pay After Delivery,Amman,١٠٠ مل // لاكوست وايت / بلو شانيل /سوفاج ,40,1٫75,yes,4/8/2024 3:04:02 AM,3
643t,Pay After Delivery,Zarqa,١٠٠ مل //بلاك ابيوم / فيرزاتشي كريستال/ ٢١٢سكسي نسائي/ بوس اورانج ,50,2٫75,yes,4/8/2024 3:04:02 AM,4
644t,Pay After Delivery,Irbid,١٠٠ مل // فيرزاتشي ايروس /سبايس بومي اكستريم / ديفيدوف زينو ,40,2٫75,yes,4/8/2024 3:04:02 AM,3
645t,Pay After Delivery,Petra ,١٠٠ مل عدد ٢ جيفينشي جنتل مان ,0,2٫75,yes,4/8/2024 3:04:02 AM,2
